Country Name,Crecimiento PIB per cápita 60s,Crecimiento PIB per cápita 70s,Crecimiento PIB per cápita 80s,Crecimiento PIB per cápita 90s,Crecimiento PIB per cápita 2000s,Crecimiento PIB per cápita 2010-hoy
Afghanistan,,,,,5.9399999999999995,1.1381818181818169
Africa Eastern and Southern,1.9355555555555553,0.29499999999999993,-0.33000000000000007,-0.8809999999999998,1.6800000000000002,-0.06583333333333341
Africa Western and Central,0.8644444444444443,3.3789999999999996,-2.573,-0.2290000000000001,3.333,0.8641666666666663
Albania,,,0.4833333333333334,1.0390000000000015,6.548,2.9266666666666667
Algeria,1.3566666666666656,4.181,-0.2160000000000002,-0.42000000000000015,2.416,0.1625000000000003
American Samoa,,,,,-0.5757142857142856,-0.13909090909090915
Andorra,,-0.2722222222222223,-1.332,1.1840000000000002,0.579,0.638333333333333
Angola,,,-1.054444444444445,-2.0680000000000005,5.004999999999999,-1.9133333333333336
Antigua and Barbuda,,6.415,6.357,1.541,1.5739999999999994,-0.5699999999999985
Arab World,,5.1325,-2.0169999999999995,1.9450000000000012,2.141,0.22166666666666668
Argentina,2.525555555555555,1.3409999999999997,-1.862,2.686,1.5180000000000002,0.14749999999999908
Armenia,,,,-1.9011111111111116,9.413,3.346666666666667
Aruba,,,16.643333333333334,0.8439999999999999,-0.009999999999999787,-1.007272727272727
Australia,2.828888888888889,1.6960000000000006,1.84,2.061,1.841,0.8333333333333333
Austria,3.9622222222222225,3.938,1.9020000000000001,2.218,1.271,0.4983333333333333
Azerbaijan,,,,-7.015555555555555,14.434000000000001,0.5558333333333336
"Bahamas, The",5.011111111111111,0.026999999999999247,1.9739999999999998,0.14300000000000024,-0.7349999999999999,-0.9675
Bahrain,,,-1.8055555555555554,2.6079999999999997,-0.8899999999999998,-0.6149999999999998
Bangladesh,0.8600000000000003,-0.6260000000000003,0.8690000000000002,2.458,3.947,5.221666666666667
Barbados,,3.217999999999999,1.416,0.07399999999999984,1.0310000000000001,-1.3391666666666662
Belarus,,,,-1.4211111111111114,7.824,1.8099999999999996
Belgium,4.158888888888889,3.316,2.0570000000000004,1.8850000000000002,1.262,0.8033333333333332
Belize,2.2199999999999998,4.554,2.630000000000001,3.208,1.9600000000000009,-0.8966666666666666
Benin,1.2777777777777777,-0.1270000000000001,0.21899999999999986,1.5980000000000008,1.2340000000000002,2.0041666666666673
Bermuda,4.296666666666667,3.643,1.1289999999999996,1.47,1.6830000000000007,-1.1816666666666666
Bhutan,,,6.998888888888888,4.272,6.3580000000000005,3.427272727272727
Bolivia,3.417777777777778,2.339,-2.481,1.875,1.8359999999999999,2.1083333333333334
Bosnia and Herzegovina,,,,35.358000000000004,4.8180000000000005,3.194166666666667
Botswana,5.41,11.768,7.478,2.7190000000000003,1.561,2.3983333333333334
Brazil,2.851111111111111,6.211,0.8209999999999997,0.10599999999999987,2.181,0.4350000000000014
Brunei Darussalam,,7.971999999999998,-5.2059999999999995,-0.5409999999999999,-0.2300000000000001,-0.7850000000000001
