Country Name	Gasto 60s	Gasto 70s	Gasto 80s	Gasto 90s	Gasto 2000s	Gasto 2010-hoy
Afghanistan					34964999999999900.00	4493875.00
Africa Eastern and Southern				21.55	23.81	24543.00
Albania				25.645	23506666666666600.00	23804000000000000.00
Angola				19.65	22259.00	21924.00
Arab World						23595.00
Argentina				14.004.999.999.999.900	18044.00	24301428571428500.00
Armenia					19.05	23400909090909000.00
Australia		21.42	24.691	23.917	25384.00	2673090909090900.00
Austria		303.425	35.579	42.51	46.10	4599090909090900.00
Azerbaijan				20.64	20795.00	23.02
Bahamas, The				15.463.000.000.000.000	11552.00	17973636363636300.00
Bahrain			27.822	25.251	21718.00	
Bangladesh					8401111111111110.00	8743636363636360.00
Barbados					28845714285714200.00	3430428571428570.00
Belarus				2.932.125	29741.00	28406363636363600.00
Belgium				44.888	42148.00	4284090909090900.00
Belize				18.836	22591.00	25215.00
Bhutan			18.582.857.142.857.100	20.227	20227.00	20564545454545400.00
Bolivia			12.22	18.205	25.09	
Bosnia and Herzegovina					36066.00	3714818181818180.00
Botswana				29.472.857.142.857.100	331125.00	29826363636363600.00
Brazil						3407454545454540.00
Bulgaria				43.968	31.94	3306727272727270.00
Burkina Faso					1065125.00	14414545454545400.00
Burundi			13.67	2.415.375		
Cabo Verde					26582.00	2668125.00
Cambodia					8845.00	13142727272727200.00
Cameroon				1.170.625		12.11
Canada				23.054.000.000.000.000	17849.00	18617272727272700.00
Caribbean small states					2381888888888880.00	27462222222222200.00
Central African Republic					12176666666666600.00	10729.00
Central Europe and the Baltics				3.927.333.333.333.330	37068.00	3660181818181810.00
Chile		26.84	24.701	16.578	18.67	2169818181818180.00
Colombia				20.72	234625.00	28972727272727200.00
Congo, Dem. Rep.		1.156.625	12.37			
Congo, Rep.					2037666666666660.00	14857272727272700.00
Costa Rica		1.731.714.285.714.280	21.419	21.141	22735.00	27475454545454500.00
Cote d'Ivoire					10026666666666600.00	12182.00
Croatia					39.85	41276363636363600.00
Cyprus		25.134	26.921	50.881	58068.00	40.20
Czechia				3.601.285.714.285.710	34577.00	3425818181818180.00
Denmark		3.021.875	37.296	39.197	36685.00	39875454545454500.00
Dominican Republic		11.248.571.428.571.400	10.718	8.301	13105.00	15953636363636300.00
Early-demographic dividend				1.641.777.777.777.770	21.46	2111888888888880.00
Ecuador						26814999999999900.00
Egypt, Arab Rep.		42.67	3.616.444.444.444.440	285.175	28919999999999900.00	30348333333333300.00
El Salvador				13.115	20732.00	24757272727272700.00
Equatorial Guinea					40375.00	8788181818181810.00
Estonia				35.906	32068.00	3602818181818180.00
Ethiopia				13.32	13.42	10177272727272700.00
Euro area		27.405	33.69	39.106	37993.00	3929272727272720.00
Europe & Central Asia		28.435.714.285.714.200	32.855	36.022	35211.00	3658181818181810.00
Europe & Central Asia (excluding high income)				21.526.666.666.666.600	29445.00	2864636363636360.00
Europe & Central Asia (IDA & IBRD countries)				243.425	27.21	2987727272727270.00
