Indonesia;6058455
Bangladesh;1951303
Venezuela;521907
Brunei Darussalam;153008
Kiribati;3204
Cameroon;118242
Luxembourg;278235
Sweden;2511512
Uganda;148446
Montenegro;225735
Jordan;1671943
Dominican Republic;579652
Ireland;1549848
Cambodia;136168
United States Of America;81248793
Singapore;1316766
Papua New Guinea;44476
Sri Lanka;655710
San Marino;15797
Laos;196961
American Samoa;6191
Uzbekistan;237358
Bosnia And Herzegovina;370932
Portugal;4962131
Finland;1114573
Malta;96148
Colombia;6035848
Albania;271623
Ukraine;4949274
Saudi Arabia;769973
Grenada;17987
Cayman Islands;25188
Cuba;1102309
Latvia;828187
Kyrgyzstan;200435
Algeria;262990
France;29910679
Cape Verde;51958
Slovakia;2544423
Maldives;177884
Israel;4144107
Djibouti;15540
Syria;55320
Sao Tome And Principe;5848
Nauru;3
Senegal;84660
Malaysia;4480899
Kenya;291927
Ghana;147633
Zambia;279750
Iceland;192039
Madagascar;58045
Kuwait;631634
Africa (total);11352269
Wallis And Futuna;454
Sierra Leone;7010
Liberia;6972
Philippines;3678868
Tuvalu;3
Benin;26924
Cyprus;521989
Guinea;36393
Turkey;14680485
Nigeria;236719
Rwanda;118383
Zimbabwe;232073
Tajikistan;17786
Guam;49821
Bonaire, Saint Eustatius And Saba;9772
Comoros;5901
China;556073
Saint Lucia;25888
New Caledonia;62288
Belarus;966630
Armenia;421678
Qatar;366882
Netherlands;8106145
Lesotho;29518
Paraguay;651110
Gabon;47609
Turks And Caicos Islands;5772
Australia;7318870
Dominica;14509
Serbia;1999943
Mauritius;224839
EU/EEA (total);145611120
Saint Kitts And Nevis;5401
British Virgin Islands;6720
Angola;82787
Libya;494123
Vanuatu;10575
Micronesia (Federated States Of);34
Bahrain;590942
Spain;12551089
Congo;22092
United Arab Emirates;892025
Georgia;1630113
Malawi;74782
Belgium;4170786
Antigua And Barbuda;8470
Monaco;11620
Guernsey;23606
Burundi;37143
Taiwan;2891984
Bhutan;59641
Solomon Islands;21233
Montserrat;1003
Thailand;4448232
Togo;32548
Burkina Faso;19939
Faroe Islands;33026
El Salvador;163601
Italy;17758795
Uruguay;931728
Oman;388624
Timor Leste;22927
Eswatini;66641
Fiji;62859
United Kingdom;21004792
Cote Divoire;72655
United Republic Of Tanzania;32165
Isle Of Man;29754
Palau;5140
Holy See;28
Germany;26854389
Eritrea;9761
Canada;3636111
South Korea;18157495
Saint Vincent And The Grenadines;8662
Anguilla;3260
Barbados;80400
Sint Maarten;9709
Democratic Republic Of The Congo;80112
Bermuda;14925
Namibia;158225
Marshall Islands;18
Argentina;8967519
Cook Islands;5717
Liechtenstein;17506
Slovenia;1028376
Azerbaijan;785509
Greece;3503584
Egypt;502179
Bahamas;34924
Afghanistan;180761
Puerto Rico;609119
India;43054057
Chad;6936
Iran;7207754
French Polynesia;73066
Chile;3810724
Gambia;11883
Estonia;563454
Vietnam;10493314
Suriname;80406
South Africa;3819121
Oceania (total);8942264
Peru;3553347
Kazakhstan;1388200
Central African Republic;14219
Kosovo;228117
Japan;9027353
Europe (total);211118998
Denmark;2827419
Jamaica;136813
Mongolia;919865
Iraq;2325944
Mauritania;57160
Mozambique;194467
Switzerland;3483200
Seychelles;43240
Northern Mariana Islands;10528
New Zealand;1241688
Guinea Bissau;8277
Ecuador;871309
Hungary;1923203
Russia;18040064
America (total);154765266
Norway;1441387
Honduras;425092
Belize;58987
Botswana;290794
Asia (total);134354819
Pakistan;1526807
Romania;2912041
Brazil;31424351
Austria;4318626
Guatemala;866254
Bolivia;895692
Ethiopia;428682
Trinidad And Tobago;157563
Falkland Islands (Malvinas);1733
Niger;8923
Panama;875950
Yemen;11793
South Sudan;15448
Western Sahara;766
Lithuania;1402060
Bulgaria;1166859
Croatia;1139816
Tunisia;1035841
Sudan;61313
Aruba;34167
Mali;28882
North Macedonia;308162
Morocco;1161641
Moldova;514590
Myanmar;610680
Nicaragua;18395
Mexico;5767359
Tonga;11909
Nepal;976021
Guyana;64983
Curaçao;39159
United States Virgin Islands;17863
Palestine;653548
Poland;6018262
Lebanon;1069319
Greenland;11010
Costa Rica;902916
Jersey;48197
Haiti;30906
Gibraltar;17701
Samoa;14187
Equatorial Guinea;15942
Czechia;3919548
Somalia;26202
Andorra;39784
